"","regija","leto","vrsta.zemljisca","povrsina"
"281","nm",2016,"gozd",46851
"282","ms",2013,"gozd",17024
"283","po",2003,"gozd",17108
"284","nm",2003,"gozd",38806
"285","kp",2010,"gozd",5393
"286","lj",2005,"gozd",67122
"287","kk",2010,"gozd",17985
"288","sg",2016,"gozd",32718
"289","slo",2007,"gozd",377768
"290","slo",2010,"gozd",373629
"291","za",2007,"gozd",9441
"292","kk",2003,"gozd",18083
"293","po",2007,"gozd",19338
"294","po",2010,"gozd",18743
"295","sg",2007,"gozd",30494
"296","kk",2007,"gozd",18389
"297","mb",2003,"gozd",34447
"298","lj",2003,"gozd",63516
"299","mb",2007,"gozd",32096
"300","po",2016,"nerodovitno",578
"301","ce",2013,"nerodovitno",2907
"302","po",2013,"nerodovitno",534
"303","kp",2016,"nerodovitno",743
"304","kr",2013,"nerodovitno",1302
"305","kk",2013,"nerodovitno",868
"306","slo",2013,"nerodovitno",18513
"307","po",2010,"nerodovitno",568
"308","nm",2013,"nerodovitno",2096
"309","slo",2010,"nerodovitno",17049
"310","ng",2010,"nerodovitno",957
"311","nm",2016,"nerodovitno",1801
"312","lj",2010,"nerodovitno",1869
"313","kr",2016,"nerodovitno",1110
"314","kp",2013,"nerodovitno",953
"315","ce",2016,"nerodovitno",2002
"316","mb",2010,"nerodovitno",2502
"317","ms",2010,"nerodovitno",1737
"318","slo",2007,"nerodovitno",19292
"319","kr",2010,"nerodovitno",1805
"320","mb",2007,"nerodovitno",2426
"321","ms",2007,"nerodovitno",1535
"322","kk",2010,"nerodovitno",887
"323","lj",2016,"nerodovitno",1719
"324","slo",2016,"nerodovitno",15142
"325","za",2013,"nerodovitno",172
"326","nm",2010,"nerodovitno",1241
"327","ce",2005,"nerodovitno",3859
"328","ms",2005,"nerodovitno",1687
"329","slo",2003,"nerodovitno",14640
"330","za",2010,"nerodovitno",226
"331","slo",2005,"nerodovitno",17911
"332","kk",2005,"nerodovitno",988
"333","ms",2013,"nerodovitno",1926
"334","ms",2016,"nerodovitno",1692
"335","mb",2005,"nerodovitno",2285
"336","sg",2007,"nerodovitno",1114
"337","kk",2016,"nerodovitno",1025
"338","po",2005,"nerodovitno",622
"339","ms",2003,"nerodovitno",1569
"340","mb",2016,"nerodovitno",1909
"341","kk",2007,"nerodovitno",1076
"342","nm",2005,"nerodovitno",1255
"343","mb",2013,"nerodovitno",2473
"344","lj",2005,"nerodovitno",2059
"345","sg",2010,"nerodovitno",1054
"346","ng",2013,"nerodovitno",829
"347","nm",2007,"nerodovitno",1529
"348","kk",2003,"nerodovitno",850
"349","mb",2003,"nerodovitno",1794
"350","ce",2010,"nerodovitno",3738
"351","sg",2013,"nerodovitno",1380
"352","sg",2016,"nerodovitno",977
"353","sg",2005,"nerodovitno",1476
"354","sg",2003,"nerodovitno",816
"355","ng",2016,"nerodovitno",1007
"356","lj",2003,"nerodovitno",1405
"357","kp",2010,"nerodovitno",464
"358","nm",2003,"nerodovitno",1114
"359","mb",2016,"njive",45477
"360","kr",2016,"njive",7636
"361","mb",2013,"njive",44200
"362","kp",2007,"njive",1962
"363","ng",2007,"njive",2835
"364","ng",2005,"njive",2869
"365","ng",2010,"njive",2690
"366","kp",2005,"njive",1735
"367","kr",2013,"njive",7852
"368","po",2010,"njive",1741
"369","po",2013,"njive",1491
"370","po",2016,"njive",1833
"371","kr",2010,"njive",8427
"372","ms",2007,"njive",53326
"373","ms",2010,"njive",52183
"374","ms",2013,"njive",55700
"375","ms",2016,"njive",57727
"376","ms",2005,"njive",52762
"377","lj",2007,"njive",17772
"378","lj",2010,"njive",17087
"379","lj",2013,"njive",16689
"380","lj",2016,"njive",15845
"381","ng",2016,"njive",2712
"382","za",2010,"njive",248
"383","za",2013,"njive",180
"384","ce",2003,"njive",15940
"385","ce",2005,"njive",16067
"386","ce",2007,"njive",15066
"387","kr",2007,"njive",8481
"388","ce",2013,"njive",16189
"389","lj",2005,"njive",17239
"390","kk",2005,"njive",10902
"391","ce",2010,"njive",15283
"392","ms",2003,"njive",51413
"393","kk",2013,"njive",9899
"394","kk",2016,"njive",10846
"395","kk",2007,"njive",10337
"396","kk",2010,"njive",9581
"397","sg",2005,"njive",3686
"398","kr",2005,"njive",8754
"399","mb",2005,"njive",43864
"400","mb",2007,"njive",45305
"401","mb",2010,"njive",44312
"402","sg",2010,"njive",3239
"403","sg",2007,"njive",3096
"404","za",2016,"njive",856
"405","ng",2013,"njive",2858
"406","sg",2013,"njive",2684
"407","nm",2003,"njive",15917
"408","nm",2005,"njive",16066
"409","nm",2007,"njive",14636
"410","nm",2010,"njive",14178
"411","nm",2013,"njive",14486
"412","nm",2016,"njive",14117
"413","ce",2016,"njive",14656
"414","sg",2003,"njive",3483
"415","ng",2003,"njive",3200
"416","lj",2003,"njive",17137
"417","kk",2003,"njive",10397
"418","slo",2003,"njive",172144
"419","slo",2005,"njive",175864
"420","slo",2007,"njive",174709
"421","slo",2010,"njive",170144
"422","slo",2013,"njive",173697
"423","slo",2016,"njive",176518
"424","sg",2016,"njive",3576
"425","kp",2016,"njive",1238
"426","kp",2013,"njive",1470
"427","kp",2010,"njive",1175
"428","kp",2003,"njive",1574
"429","kr",2003,"njive",7608
"430","mb",2003,"njive",43401
"431","po",2003,"njive",1667
"432","po",2005,"njive",1655
"433","po",2007,"njive",1643
"434","ng",2010,"trajni nasadi",5273
"435","sg",2010,"trajni nasadi",603
"436","ng",2013,"trajni nasadi",5035
"437","sg",2007,"trajni nasadi",473
"438","ce",2013,"trajni nasadi",2823
"439","kp",2016,"trajni nasadi",3668
"440","sg",2013,"trajni nasadi",703
